Version,Date_of_report,Date_measurement,RWZI_AWZI_code,RWZI_AWZI_name,RNA_flow_per_100000
2,2021-11-24,2020-04-29,4027,Tollebeek,14752610918782.0
2,2021-11-24,2020-04-29,30020,Venray,3525788441789.0
2,2021-11-24,2020-04-29,21001,Walcheren,2667192962671.0
2,2021-11-24,2020-04-30,9016,Arnhem,7950672118512.0
2,2021-11-24,2020-04-30,15005,Houtrust,2679498248557.0
2,2021-11-24,2020-05-01,13010,Haarlem Waarderpolder,2364076000516.0
2,2021-11-24,2020-05-03,10027,Amersfoort,1775329905153.0
2,2021-11-24,2020-05-03,9016,Arnhem,4327293628918.0
2,2021-11-24,2020-05-03,29003,Land Van Cuijk,12626136078905.0
2,2021-11-24,2020-05-05,3010,Assen,0.0
2,2021-11-24,2020-05-05,27008,S Hertogenbosch,5369605316927.0
2,2021-11-24,2020-05-05,28005,Dinther,15215447910183.0
2,2021-11-24,2020-05-05,2032,Harlingen,0.0
2,2021-11-24,2020-05-05,15005,Houtrust,6068931208578.0
2,2021-11-24,2020-05-05,2011,Leeuwarden,1063574472254.0
2,2021-11-24,2020-05-05,1008,Stadskanaal,5480928533182.0
2,2021-11-24,2020-05-05,32002,Tilburg,5001531736966.0
2,2021-11-24,2020-05-05,4027,Tollebeek,21485761258456.0
2,2021-11-24,2020-05-05,10009,Utrecht,3845390847057.0
2,2021-11-24,2020-05-05,4026,Zwolle,1886316559035.0
2,2021-11-24,2020-05-06,12022,Beverwijk,371013590274.0
2,2021-11-24,2020-05-06,7022,Etten,6191513035890.0
2,2021-11-24,2020-05-06,1033,Garmerwolde,8716000202556.0
2,2021-11-24,2020-05-06,25020,Kaatsheuvel,7004745991182.0
2,2021-11-24,2020-05-06,25027,Lage Zwaluwe,7400989932886.0
2,2021-11-24,2020-05-06,13030,Leimuiden,1980566352027.0
2,2021-11-24,2020-05-06,6004,Lelystad,5214105793451.0
2,2021-11-24,2020-05-06,30007,Bosscherveld,7829688996421.0
2,2021-11-24,2020-05-06,5012,Oldenzaal,690007038896.0
2,2021-11-24,2020-05-06,3028,Sleen,0.0
2,2021-11-24,2020-05-06,23002,Terneuzen,13568138014436.0
2,2021-11-24,2020-05-06,30020,Venray,5638166371020.0
2,2021-11-24,2020-05-06,21001,Walcheren,2022191184253.0
2,2021-11-24,2020-05-07,9016,Arnhem,0.0
2,2021-11-24,2020-05-07,13010,Haarlem Waarderpolder,9630357219619.0
2,2021-11-24,2020-05-09,6004,Lelystad,3672318508215.0
2,2021-11-24,2020-05-10,10027,Amersfoort,0.0
2,2021-11-24,2020-05-10,27008,S Hertogenbosch,8146340355976.0
2,2021-11-24,2020-05-10,28005,Dinther,6917417696554.0
2,2021-11-24,2020-05-10,29003,Land Van Cuijk,2445593494454.0
2,2021-11-24,2020-05-11,9016,Arnhem,254052959542.0
2,2021-11-24,2020-05-11,1033,Garmerwolde,1040831828233.0
2,2021-11-24,2020-05-11,15005,Houtrust,13483809429835.0
2,2021-11-24,2020-05-11,13030,Leimuiden,509050527484.0
2,2021-11-24,2020-05-11,32002,Tilburg,5715063839851.0
2,2021-11-24,2020-05-11,4027,Tollebeek,13528258759796.0
2,2021-11-24,2020-05-11,21001,Walcheren,984419324896.0
2,2021-11-24,2020-05-12,3010,Assen,306047731445.0
2,2021-11-24,2020-05-12,2032,Harlingen,0.0
2,2021-11-24,2020-05-12,2011,Leeuwarden,1334799431846.0
2,2021-11-24,2020-05-12,1008,Stadskanaal,0.0
2,2021-11-24,2020-05-12,10009,Utrecht,4408584479662.0
2,2021-11-24,2020-05-12,4026,Zwolle,1897599610089.0
2,2021-11-24,2020-05-13,12022,Beverwijk,1041411680414.0
2,2021-11-24,2020-05-13,27008,S Hertogenbosch,1616475208863.0
2,2021-11-24,2020-05-13,7022,Etten,0.0
2,2021-11-24,2020-05-13,13010,Haarlem Waarderpolder,0.0
2,2021-11-24,2020-05-13,25020,Kaatsheuvel,828110870847.0
2,2021-11-24,2020-05-13,25027,Lage Zwaluwe,1709697986577.0
2,2021-11-24,2020-05-13,30007,Bosscherveld,3723978023086.0
2,2021-11-24,2020-05-13,5012,Oldenzaal,2952249040667.0
2,2021-11-24,2020-05-13,3028,Sleen,8612576934719.0
2,2021-11-24,2020-05-13,23002,Terneuzen,3015343335475.0
2,2021-11-24,2020-05-13,30020,Venray,0.0
2,2021-11-24,2020-05-15,6004,Lelystad,4340451395416.0
2,2021-11-24,2020-05-16,21001,Walcheren,999210555994.0
2,2021-11-24,2020-05-17,10027,Amersfoort,3104489486916.0
2,2021-11-24,2020-05-17,9016,Arnhem,1493429045448.0
2,2021-11-24,2020-05-17,27008,S Hertogenbosch,3705752815111.0
2,2021-11-24,2020-05-17,28005,Dinther,4260800685424.0
2,2021-11-24,2020-05-17,15005,Houtrust,15367054779877.0
2,2021-11-24,2020-05-17,4027,Tollebeek,3052276315599.0
2,2021-11-24,2020-05-18,32002,Tilburg,4118040331650.0
2,2021-11-24,2020-05-19,3010,Assen,0.0
2,2021-11-24,2020-05-19,13010,Haarlem Waarderpolder,0.0
2,2021-11-24,2020-05-19,2032,Harlingen,0.0
2,2021-11-24,2020-05-19,29003,Land Van Cuijk,11548005740188.0
2,2021-11-24,2020-05-19,2011,Leeuwarden,0.0
2,2021-11-24,2020-05-19,1008,Stadskanaal,0.0
2,2021-11-24,2020-05-19,10009,Utrecht,5143885276333.0
2,2021-11-24,2020-05-19,4026,Zwolle,1347768165387.0
2,2021-11-24,2020-05-20,13030,Leimuiden,1456153988525.0
2,2021-11-24,2020-05-21,12022,Beverwijk,2462422450606.0
2,2021-11-24,2020-05-21,7022,Etten,39411664369230.0
2,2021-11-24,2020-05-21,25020,Kaatsheuvel,8162397146788.0
2,2021-11-24,2020-05-21,25027,Lage Zwaluwe,0.0
2,2021-11-24,2020-05-21,6004,Lelystad,4361767986265.0
2,2021-11-24,2020-05-21,30007,Bosscherveld,15656790496833.0
2,2021-11-24,2020-05-21,5012,Oldenzaal,0.0
2,2021-11-24,2020-05-21,3028,Sleen,0.0
2,2021-11-24,2020-05-21,30020,Venray,0.0
2,2021-11-24,2020-05-22,1033,Garmerwolde,5093462518779.0
2,2021-11-24,2020-05-22,23002,Terneuzen,0.0
2,2021-11-24,2020-05-22,21001,Walcheren,0.0
2,2021-11-24,2020-05-23,4027,Tollebeek,1168708084071.0
2,2021-11-24,2020-05-24,10027,Amersfoort,0.0
2,2021-11-24,2020-05-24,15005,Houtrust,13869916292532.0
2,2021-11-24,2020-05-25,9016,Arnhem,12228056538949.0
2,2021-11-24,2020-05-25,13010,Haarlem Waarderpolder,0.0
2,2021-11-24,2020-05-25,29003,Land Van Cuijk,2800414569144.0
2,2021-11-24,2020-05-25,13030,Leimuiden,1777012770683.0
2,2021-11-24,2020-05-25,32002,Tilburg,3413357040858.0
2,2021-11-24,2020-05-26,3010,Assen,0.0
2,2021-11-24,2020-05-26,1033,Garmerwolde,0.0
2,2021-11-24,2020-05-26,2032,Harlingen,0.0
2,2021-11-24,2020-05-26,2011,Leeuwarden,0.0
2,2021-11-24,2020-05-26,1008,Stadskanaal,0.0
2,2021-11-24,2020-05-26,10009,Utrecht,9259291324761.0
2,2021-11-24,2020-05-26,4026,Zwolle,334178140612.0
2,2021-11-24,2020-05-27,12022,Beverwijk,0.0
2,2021-11-24,2020-05-27,7022,Etten,0.0
2,2021-11-24,2020-05-27,6004,Lelystad,4292905748337.0
2,2021-11-24,2020-05-27,30007,Bosscherveld,39432847757783.0
2,2021-11-24,2020-05-27,5012,Oldenzaal,0.0
2,2021-11-24,2020-05-27,3028,Sleen,0.0
2,2021-11-24,2020-05-27,30020,Venray,5460666604426.0
2,2021-11-24,2020-05-28,25020,Kaatsheuvel,1153865595777.0
2,2021-11-24,2020-05-28,25027,Lage Zwaluwe,691744966443.0
2,2021-11-24,2020-05-28,23002,Terneuzen,865613544462.0
2,2021-11-24,2020-05-29,3010,Assen,0.0
2,2021-11-24,2020-05-29,1008,Stadskanaal,782229361555.0
2,2021-11-24,2020-05-29,4027,Tollebeek,885218071469.0
2,2021-11-24,2020-06-01,10027,Amersfoort,0.0
2,2021-11-24,2020-06-01,13030,Leimuiden,0.0
2,2021-11-24,2020-06-01,5012,Oldenzaal,0.0
2,2021-11-24,2020-06-01,32002,Tilburg,8306829980544.0
2,2021-11-24,2020-06-02,13010,Haarlem Waarderpolder,0.0
2,2021-11-24,2020-06-02,2032,Harlingen,0.0
2,2021-11-24,2020-06-02,29003,Land Van Cuijk,14787157467939.0
2,2021-11-24,2020-06-02,6004,Lelystad,4030201636653.0
2,2021-11-24,2020-06-02,10009,Utrecht,0.0
2,2021-11-24,2020-06-02,4026,Zwolle,2782502741562.0
2,2021-11-24,2020-06-03,27008,S Hertogenbosch,4978069378859.0
2,2021-11-24,2020-06-03,28005,Dinther,7145826429247.0
2,2021-11-24,2020-06-03,7022,Etten,4504402153972.0
2,2021-11-24,2020-06-03,1033,Garmerwolde,2343973127627.0
2,2021-11-24,2020-06-03,25020,Kaatsheuvel,8214931618411.0
2,2021-11-24,2020-06-03,30007,Bosscherveld,12825635532705.0
2,2021-11-24,2020-06-03,30020,Venray,4403058537952.0
2,2021-11-24,2020-06-04,9016,Arnhem,593247462410.0
2,2021-11-24,2020-06-04,12022,Beverwijk,13736247175619.0
2,2021-11-24,2020-06-04,2011,Leeuwarden,0.0
2,2021-11-24,2020-06-05,15005,Houtrust,4512313549427.0
2,2021-11-24,2020-06-05,3028,Sleen,0.0
2,2021-11-24,2020-06-06,23002,Terneuzen,0.0
2,2021-11-24,2020-06-06,21001,Walcheren,917273208353.0
2,2021-11-24,2020-06-07,10027,Amersfoort,1528731954444.0
2,2021-11-24,2020-06-07,13010,Haarlem Waarderpolder,0.0
2,2021-11-24,2020-06-07,4027,Tollebeek,726038211394.0
2,2021-11-24,2020-06-08,1033,Garmerwolde,619718785342.0
2,2021-11-24,2020-06-08,6004,Lelystad,7411707207038.0
2,2021-11-24,2020-06-08,32002,Tilburg,0.0
2,2021-11-24,2020-06-09,3010,Assen,0.0
2,2021-11-24,2020-06-09,27008,S Hertogenbosch,2316509262622.0
2,2021-11-24,2020-06-09,28005,Dinther,4129718959901.0
2,2021-11-24,2020-06-09,13030,Leimuiden,0.0
2,2021-11-24,2020-06-09,1008,Stadskanaal,1772805442691.0
2,2021-11-24,2020-06-09,10009,Utrecht,2299027037525.0
2,2021-11-24,2020-06-10,9016,Arnhem,659185619668.0
2,2021-11-24,2020-06-10,12022,Beverwijk,0.0
2,2021-11-24,2020-06-10,7022,Etten,0.0
2,2021-11-24,2020-06-10,15005,Houtrust,6061059993093.0
2,2021-11-24,2020-06-10,25027,Lage Zwaluwe,0.0
2,2021-11-24,2020-06-10,29003,Land Van Cuijk,5203435001480.0
2,2021-11-24,2020-06-10,30007,Bosscherveld,7778277634961.0
2,2021-11-24,2020-06-10,5012,Oldenzaal,0.0
2,2021-11-24,2020-06-10,30020,Venray,466393427318.0
2,2021-11-24,2020-06-10,4026,Zwolle,0.0
2,2021-11-24,2020-06-11,25020,Kaatsheuvel,3208427644697.0
2,2021-11-24,2020-06-11,4027,Tollebeek,12409002418993.0
2,2021-11-24,2020-06-11,21001,Walcheren,4993797225668.0
2,2021-11-24,2020-06-12,2032,Harlingen,0.0
2,2021-11-24,2020-06-12,2011,Leeuwarden,0.0
2,2021-11-24,2020-06-14,10027,Amersfoort,5523650154268.0
2,2021-11-24,2020-06-14,1033,Garmerwolde,0.0
2,2021-11-24,2020-06-14,23002,Terneuzen,0.0
2,2021-11-24,2020-06-15,27008,S Hertogenbosch,0.0
2,2021-11-24,2020-06-15,28005,Dinther,0.0
2,2021-11-24,2020-06-15,13010,Haarlem Waarderpolder,0.0
2,2021-11-24,2020-06-15,15005,Houtrust,3013098820859.0
2,2021-11-24,2020-06-15,13030,Leimuiden,0.0
2,2021-11-24,2020-06-15,32002,Tilburg,2284670813773.0
2,2021-11-24,2020-06-15,4026,Zwolle,1093603021810.0
2,2021-11-24,2020-06-16,9016,Arnhem,3978941592967.0
2,2021-11-24,2020-06-16,12022,Beverwijk,0.0
2,2021-11-24,2020-06-16,25027,Lage Zwaluwe,4511057046980.0
2,2021-11-24,2020-06-16,10009,Utrecht,2990428738436.0
2,2021-11-24,2020-06-17,3010,Assen,0.0
2,2021-11-24,2020-06-17,7022,Etten,0.0
2,2021-11-24,2020-06-17,2032,Harlingen,0.0
2,2021-11-24,2020-06-17,29003,Land Van Cuijk,3952620669233.0
2,2021-11-24,2020-06-17,2011,Leeuwarden,2004270950679.0
2,2021-11-24,2020-06-17,30007,Bosscherveld,1803148680209.0
2,2021-11-24,2020-06-17,1008,Stadskanaal,0.0
2,2021-11-24,2020-06-17,4027,Tollebeek,0.0
2,2021-11-24,2020-06-17,30020,Venray,519893567360.0
2,2021-11-24,2020-06-18,25020,Kaatsheuvel,0.0
2,2021-11-24,2020-06-18,5012,Oldenzaal,0.0
2,2021-11-24,2020-06-18,3028,Sleen,0.0
2,2021-11-24,2020-06-18,23002,Terneuzen,0.0
2,2021-11-24,2020-06-18,21001,Walcheren,0.0
2,2021-11-24,2020-06-19,1033,Garmerwolde,0.0
2,2021-11-24,2020-06-21,10027,Amersfoort,0.0
2,2021-11-24,2020-06-21,27008,S Hertogenbosch,1762304758445.0
2,2021-11-24,2020-06-21,28005,Dinther,8286843572936.0
2,2021-11-24,2020-06-21,13010,Haarlem Waarderpolder,0.0
2,2021-11-24,2020-06-21,2011,Leeuwarden,0.0
2,2021-11-24,2020-06-21,6004,Lelystad,1447046881461.0
2,2021-11-24,2020-06-22,9016,Arnhem,0.0
2,2021-11-24,2020-06-22,12022,Beverwijk,0.0
2,2021-11-24,2020-06-22,15005,Houtrust,0.0
2,2021-11-24,2020-06-22,13030,Leimuiden,697390338700.0
2,2021-11-24,2020-06-22,32002,Tilburg,949532111811.0
2,2021-11-24,2020-06-23,3010,Assen,0.0
2,2021-11-24,2020-06-23,25020,Kaatsheuvel,2765663175040.0
2,2021-11-24,2020-06-23,25027,Lage Zwaluwe,0.0
2,2021-11-24,2020-06-23,5012,Oldenzaal,0.0
2,2021-11-24,2020-06-23,3028,Sleen,0.0
2,2021-11-24,2020-06-23,1008,Stadskanaal,0.0
2,2021-11-24,2020-06-23,4027,Tollebeek,2531155757057.0
2,2021-11-24,2020-06-23,10009,Utrecht,430906218369.0
2,2021-11-24,2020-06-23,21001,Walcheren,0.0
2,2021-11-24,2020-06-23,4026,Zwolle,0.0
2,2021-11-24,2020-06-24,7022,Etten,0.0
2,2021-11-24,2020-06-24,30007,Bosscherveld,0.0
2,2021-11-24,2020-06-24,23002,Terneuzen,0.0
2,2021-11-24,2020-06-24,30020,Venray,0.0
2,2021-11-24,2020-06-27,13010,Haarlem Waarderpolder,5901660720170.0
2,2021-11-24,2020-06-27,2032,Harlingen,0.0
2,2021-11-24,2020-06-27,6004,Lelystad,0.0
2,2021-11-24,2020-06-28,10027,Amersfoort,0.0
2,2021-11-24,2020-06-28,9016,Arnhem,0.0
2,2021-11-24,2020-06-28,12022,Beverwijk,0.0
2,2021-11-24,2020-06-28,27008,S Hertogenbosch,0.0
2,2021-11-24,2020-06-28,28005,Dinther,1795436432561.0
2,2021-11-24,2020-06-28,1033,Garmerwolde,0.0
2,2021-11-24,2020-06-28,15005,Houtrust,6479175917246.0
2,2021-11-24,2020-06-28,29003,Land Van Cuijk,0.0
2,2021-11-24,2020-06-28,21001,Walcheren,0.0
2,2021-11-24,2020-06-29,13030,Leimuiden,3433240792153.0
2,2021-11-24,2020-06-29,23002,Terneuzen,0.0
2,2021-11-24,2020-06-29,32002,Tilburg,0.0
2,2021-11-24,2020-06-29,4027,Tollebeek,2046937149645.0
2,2021-11-24,2020-06-30,5012,Oldenzaal,0.0
2,2021-11-24,2020-06-30,3028,Sleen,0.0
2,2021-11-24,2020-06-30,10009,Utrecht,0.0
2,2021-11-24,2020-06-30,4026,Zwolle,458710856586.0
2,2021-11-24,2020-07-01,7022,Etten,0.0
2,2021-11-24,2020-07-01,25020,Kaatsheuvel,0.0
2,2021-11-24,2020-07-01,25027,Lage Zwaluwe,0.0
2,2021-11-24,2020-07-01,29003,Land Van Cuijk,0.0
2,2021-11-24,2020-07-01,30007,Bosscherveld,0.0
2,2021-11-24,2020-07-01,30020,Venray,0.0
2,2021-11-24,2020-07-02,3010,Assen,0.0
2,2021-11-24,2020-07-02,27008,S Hertogenbosch,3993177896840.0
2,2021-11-24,2020-07-02,28005,Dinther,0.0
2,2021-11-24,2020-07-02,1008,Stadskanaal,0.0
2,2021-11-24,2020-07-05,10027,Amersfoort,0.0
2,2021-11-24,2020-07-05,9016,Arnhem,0.0
2,2021-11-24,2020-07-05,12022,Beverwijk,0.0
2,2021-11-24,2020-07-05,13010,Haarlem Waarderpolder,0.0
2,2021-11-24,2020-07-05,2032,Harlingen,0.0
2,2021-11-24,2020-07-05,2011,Leeuwarden,0.0
2,2021-11-24,2020-07-05,23002,Terneuzen,0.0
2,2021-11-24,2020-07-06,15005,Houtrust,3556860229907.0
2,2021-11-24,2020-07-06,3028,Sleen,0.0
2,2021-11-24,2020-07-06,32002,Tilburg,0.0
2,2021-11-24,2020-07-07,1034,Feerwerd,0.0
