,time,"('susceptible', 'All')",susceptible,"('exposed', 'All')",exposed,"('infected (active)', 'All')",infected (active),"('infected (total)', 'All')",infected (total),"('removed', 'All')",removed,"('hospitalized (active)', 'All')",hospitalized (active),"('in ICU', 'All')",in ICU,"('deaths', 'All')",deaths
35,35.0,16278054.37721406,16278054.37721406,45582.46898126147,45582.46898126147,109495.35272580087,109495.35272580087,676808.5636474197,676808.5636474197,566867.8010788815,566867.8010788815,,,3801.1262096752007,3801.1262096752007,19219.2246217653,19219.2246217653
36,36.0,16263114.154254023,16263114.154254023,45364.74156392311,45364.74156392311,109043.30385433666,109043.30385433666,691966.4320716171,691966.4320716171,582477.8003277184,582477.8003277184,,,3789.4891044260903,3789.4891044260903,20887.69032364506,20887.69032364506
37,37.0,16248249.908585744,16248249.908585744,45144.10032631264,45144.10032631264,108583.33736807993,108583.33736807993,707051.239053323,707051.239053323,598022.6537198647,598022.6537198647,,,3777.5264848613156,3777.5264848613156,22548.967356007197,22548.967356007197
38,38.0,16233462.52604804,16233462.52604804,44920.61850714974,44920.61850714974,108115.61382636747,108115.61382636747,722062.0255255668,722062.0255255668,613501.2416184446,613501.2416184446,,,3765.2448207070465,3765.2448207070465,24204.046295580716,24204.046295580716
39,39.0,16218752.86766073,16218752.86766073,44694.369691648935,44694.369691648935,107640.2952206384,107640.2952206384,736997.8568920332,736997.8568920332,628912.4674269852,628912.4674269852,,,3752.6499316313125,3752.6499316313125,25853.488490129632,25853.488490129632
40,40.0,16204121.769582022,16204121.769582022,44465.42774923609,44465.42774923609,107157.54488130443,107157.54488130443,751857.8231321807,751857.8231321807,644255.2577874387,644255.2577874387,,,3739.7472632606714,3739.7472632606714,27497.589035814948,27497.589035814948
41,41.0,16189570.043078898,16189570.043078898,44233.86677786256,44233.86677786256,106667.52737879349,106667.52737879349,766641.0388866971,766641.0388866971,659528.562764448,659528.562764448,,,3726.542057657363,3726.542057657363,29136.47813563529,29136.47813563529
42,42.0,16175098.474510932,16175098.474510932,43999.761052653994,43999.761052653994,106170.40842120451,106170.40842120451,781346.6435251166,781346.6435251166,674731.3560152116,674731.3560152116,,,3713.0394580975303,3713.0394580975303,30770.184147998312,30770.184147998312
43,43.0,16160707.825327791,16160707.825327791,43763.18497749819,43763.18497749819,105666.35475013111,105666.35475013111,795973.8011968087,795973.8011968087,689862.634944581,689862.634944581,,,3699.244572945644,3699.244572945644,32398.672814637626,32398.672814637626
44,44.0,16146398.832080415,16146398.832080415,43524.213038714675,43524.213038714675,105155.5340356637,105155.5340356637,810521.7008661774,810521.7008661774,704921.4208452092,704921.4208452092,,,3685.162514058681,3685.162514058681,34021.87167543122,34021.87167543122
45,45.0,16132172.2064458,16132172.2064458,43282.91976028506,43282.91976028506,104638.11477123685,104638.11477123685,824989.5563326774,824989.5563326774,719906.7590226799,719906.7590226799,,,3670.7984193281077,3670.7984193281077,35639.68527042295,35639.68527042295
46,46.0,16118028.635265265,16118028.635265265,43039.37966033074,43039.37966033074,104114.26616877265,104114.26616877265,839376.6062361134,839376.6062361134,734817.7189056337,734817.7189056337,,,3656.1574653422044,3656.1574653422044,37252.00461128382,37252.00461128382
47,47.0,16103968.780595958,16103968.780595958,42793.667208654086,42793.667208654086,103584.15805443682,103584.15805443682,853682.1140476108,853682.1140476108,749653.3941409534,749653.3941409534,,,3641.2448738947933,3641.2448738947933,38858.7130876607,38858.7130876607
48,48.0,16089993.279775409,16089993.279775409,42545.85678523898,42545.85678523898,103047.96076523798,103047.96076523798,867905.3680465929,867905.3680465929,764412.902674117,764412.902674117,,,3626.0659146617545,3626.0659146617545,40459.6901551396,40459.6901551396
49,49.0,16076102.745498853,16076102.745498853,42296.022639655755,42296.022639655755,102505.8450466461,102505.8450466461,882045.6812840754,882045.6812840754,779095.3868148486,779095.3868148486,,,3610.625905492345,3610.625905492345,42054.813642456225,42054.813642456225
50,50.0,16062297.765909059,16062297.765909059,42044.23885134559,42044.23885134559,101957.98195137084,101957.98195137084,896102.3915325756,896102.3915325756,793700.0132882261,793700.0132882261,,,3594.930211217841,3594.930211217841,43643.96119899287,43643.96119899287
51,51.0,16048578.904698392,16048578.904698392,41790.57929077727,41790.57929077727,101404.542739417,101404.542739417,910074.8612229294,910074.8612229294,808225.9732714167,808225.9732714167,,,3578.984241541068,3578.984241541068,45227.01120669869,45227.01120669869
52,52.0,16034946.70122277,16034946.70122277,41535.117581480205,41535.117581480205,100845.69877951864,100845.69877951864,923962.4773683057,923962.4773683057,822672.4824162343,822672.4824162343,,,3562.7934483591885,3562.7934483591885,46803.84335809776,46803.84335809776
53,53.0,16021401.67062728,16021401.67062728,41277.92706296333,41277.92706296333,100281.62145204174,100281.62145204174,937764.6514757129,937764.6514757129,837038.7808577184,837038.7808577184,,,3546.363322740642,3546.363322740642,48374.33902586451,48374.33902586451
54,54.0,16007944.303983081,16007944.303983081,41019.08075453256,41019.08075453256,99712.48205343705,99712.48205343705,951480.8194452955,951480.8194452955,851324.1332089514,851324.1332089514,,,3529.6993916951656,3529.6993916951656,49938.38150205024,49938.38150205024
55,55.0,15994575.068435319,15994575.068435319,40758.651320021105,40758.651320021105,99138.45170231845,99138.45170231845,965110.441457721,965110.441457721,865527.8285423431,865527.8285423431,,,3512.807214824734,3512.807214824734,51495.85615555606,51495.85615555606
56,56.0,15981294.407361701,15981294.407361701,40496.711033447085,40496.711033447085,98559.70124723563,98559.70124723563,978653.0018499658,978653.0018499658,879649.1803576166,879649.1803576166,,,3495.6923809114264,3495.6923809114264,53046.65053809932,53046.65053809932
57,57.0,15968102.740541438,15968102.740541438,40233.33174561177,40233.33174561177,97976.40117620658,97976.40117620658,992108.0089798089,992108.0089798089,893687.5265367454,893687.5265367454,,,3478.3605044783144,3478.3605044783144,54590.65445750294,54590.65445750294
58,58.0,15955000.464334186,15955000.464334186,39968.58485165223,39968.58485165223,97388.72152806909,97388.72152806909,1005474.9950793529,1005474.9950793529,907642.2292860931,907642.2292860931,,,3460.817222347059,3460.817222347059,56127.7600300316,56127.7600300316
59,59.0,15941987.951868707,15941987.951868707,39702.541259559395,39702.541259559395,96796.83180570812,96796.83180570812,1018753.5160978881,1018753.5160978881,921512.675066026,921512.675066026,,,3443.0681902081064,3443.0681902081064,57657.861719076944,57657.861719076944
60,60.0,15929065.553240856,15929065.553240856,39435.27135967268,39435.27135967268,96200.90089121055,96200.90089121055,1031943.1515344268,1031943.1515344268,935298.2745082635,935298.2745082635,,,3425.119079214475,3425.119079214475,59180.856364741965,59180.856364741965
61,61.0,15916233.595720595,15916233.595720595,39166.84499516,39166.84499516,95601.09696299565,95601.09696299565,1045043.5042602323,1045043.5042602323,948998.46232125,948998.46232125,,,3406.975572607052,3406.975572607052,60696.64320716172,60696.64320716172
62,62.0,15903492.38396771,15903492.38396771,38897.33143349102,38897.33143349102,94997.58741496572,94997.58741496572,1058054.2003316742,1058054.2003316742,962612.6971838322,962612.6971838322,,,3388.643362377324,3388.643362377324,62205.12390533232,62205.12390533232
63,63.0,15890842.200255841,15890842.200255841,38626.799338909936,38626.799338909936,94390.53877771717,94390.53877771717,1070974.888793741,1070974.888793741,976140.4616275318,976140.4616275318,,,3370.1281459722004,3370.1281459722004,63706.2025525567,63706.2025525567
64,64.0,15878283.304704523,15878283.304704523,38355.31674591274,38355.31674591274,93780.1166418497,93780.1166418497,1083805.2414745446,1083805.2414745446,989581.2619077137,989581.2619077137,,,3351.4356230447665,3351.4356230447665,65199.78568920333,65199.78568920333
65,65.0,15865815.935518911,15865815.935518911,38082.9510337325,38082.9510337325,93166.48558340616,93166.48558340616,1096544.9527711524,1096544.9527711524,1002934.627863949,1002934.627863949,,,3332.571492254204,3332.571492254204,66685.78231321808,66685.78231321808
66,66.0,15853440.30923681,15853440.30923681,37809.7689018346,37809.7689018346,92549.80909147319,92549.80909147319,1109193.7394270801,1109193.7394270801,1016200.1127698816,1016200.1127698816,,,3313.541448117744,3313.541448117744,68164.10388866972,68164.10388866972
67,67.0,15841156.6209827,15841156.6209827,37535.836346422984,37535.836346422984,91930.2494979693,91930.2494979693,1121751.3403017898,1121751.3403017898,1029377.2931729071,1029377.2931729071,,,3294.3511779172095,3294.3511779172095,69634.66435251167,69634.66435251167
68,68.0,15828965.044728423,15828965.044728423,37261.2186379567,37261.2186379567,91307.96790964244,91307.96790964244,1134217.5161325196,1134217.5161325196,1042465.7687239785,1042465.7687239785,,,3275.0063586624715,3275.0063586624715,71097.38011968086,71097.38011968086
